,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid_price,calc_price,price_source,calc_IV,delta,gamma,theta,rho,vega
0,HOOD251128C00060000,2025-11-25 15:18:24+00:00,60.0,50.18,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,50.18,Last,,,,,,
1,HOOD251128C00065000,2025-11-25 15:34:36+00:00,65.0,47.13,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,47.13,Last,,,,,,
2,HOOD251128C00070000,2025-11-25 17:14:26+00:00,70.0,43.06,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,43.06,Last,,,,,,
3,HOOD251128C00075000,2025-11-25 20:52:00+00:00,75.0,41.28,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,41.28,Last,3.7924128577670224,0.9536638876021186,0.002991117611372829,-0.6054430617009885,0.003777256736565704,0.008301865073946146
4,HOOD251128C00080000,2025-11-25 20:52:00+00:00,80.0,36.36,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,36.36,Last,3.4032569913235533,0.9437549803283929,0.0038889513831463773,-0.6590013977501457,0.0039840966086757135,0.00968619937989601
5,HOOD251128C00085000,2025-11-24 18:39:43+00:00,85.0,28.85,0.0,0.0,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,28.85,Last,,,,,,
6,HOOD251128C00086000,2025-11-24 19:08:56+00:00,86.0,28.7,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,28.7,Last,,,,,,
7,HOOD251128C00087000,2025-11-24 16:44:40+00:00,87.0,26.11,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,26.11,Last,,,,,,
8,HOOD251128C00088000,2025-11-25 20:26:35+00:00,88.0,27.59,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,27.59,Last,,,,,,
9,HOOD251128C00089000,2025-11-25 20:26:35+00:00,89.0,26.57,0.0,0.0,0.0,0.0,22.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,26.57,Last,,,,,,
10,HOOD251128C00090000,2025-11-25 20:34:05+00:00,90.0,25.4,0.0,0.0,0.0,0.0,21.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,25.4,Last,,,,,,
11,HOOD251128C00091000,2025-11-25 20:34:05+00:00,91.0,24.4,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,24.4,Last,,,,,,
12,HOOD251128C00092000,2025-11-20 16:15:14+00:00,92.0,24.94,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,24.94,Last,2.733185775157283,0.8905982545593716,0.008010449157325183,-1.0128102322896524,0.004273229622610231,0.016023272161040936
13,HOOD251128C00093000,2025-11-25 20:31:18+00:00,93.0,22.71,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,22.71,Last,1.5189623687176135,0.9767467824179477,0.004232148356209109,-0.12099013423734561,0.004940965818155618,0.004704828797295946
14,HOOD251128C00094000,2025-11-25 20:55:29+00:00,94.0,21.97,0.0,0.0,0.0,0.0,23.0,0,1.0000000000000003e-05,True,REGULAR,USD,0.0,21.97,Last,1.8182863728282148,0.9456342551727559,0.007086132249867205,-0.33621707136129686,0.00478449049529317,0.009429648561690485
